Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2
0.281681878,0.177964095,0.574420907,0.251585035,0.196901704,0.268484399,0.17760625,0.111846288,0.743712314,0.321914375,0.2090898,0.174750695,0.121203035,0.07371649,0.733576319,0.105129931,0.080305832,0.056814743,0.469406882,0.354214078,0.256642807,0.301702543
0.281681878,0.177964095,0.501405221,0.260307357,0.199026201,0.20650772,0.17760625,0.111846288,0.658847167,0.411956773,0.173727527,0.096565507,0.121203035,0.07371649,0.680408392,0.115572414,0.105114167,0.112525438,0.387717684,0.353316592,0.255045671,0.308989088
0.281681878,0.177964095,0.400399107,0.240891323,0.199972512,0.197831428,0.17760625,0.111846288,0.515064226,0.456750513,0.164158623,0.079923576,0.121203035,0.07371649,0.576262317,0.156175165,0.151706265,0.135694187,0.277327607,0.297342123,0.230511425,0.275208581
0.281681878,0.177964095,0.249433723,0.232201997,0.181997512,0.173117276,0.17760625,0.111846288,0.229206793,0.457425799,0.169006883,0.090437357,0.121203035,0.07371649,0.324941406,0.20106903,0.168989826,0.154904218,0.112393418,0.230454186,0.204372453,0.222332252
0.281681878,0.177964095,0.054807216,0.258005559,0.196434749,0.229480751,0.17760625,0.111846288,0.01654875,0.450710377,0.239050985,0.205762873,0.121203035,0.07371649,0.041378457,0.218910921,0.175720717,0.185178994,0.01,0.166191026,0.153122554,0.168884389
0.281681878,0.177964095,0,0.313421616,0.268862312,0.205238141,0.17760625,0.111846288,0,0.484227753,0.319277394,0.189857979,0.121203035,0.07371649,0,0.260985023,0.207476236,0.238137398,0,0.155583813,0.149027446,0.131463173
0.281681878,0.177964095,0,0.253748222,0.236923315,0.137938248,0.17760625,0.111846288,0,0.471312059,0.365073173,0.099014098,0.121203035,0.07371649,0,0.234536219,0.192370798,0.187205653,0,0.138976711,0.110166819,0.087315613
0.281681878,0.177964095,0,0.234223364,0.179315714,0.089172318,0.17760625,0.111846288,0,0.491506103,0.366851422,0.065078057,0.121203035,0.07371649,0,0.229030819,0.173106078,0.146948763,0,0.159059569,0.129543777,0.09444756
0.281681878,0.177964095,0,0.25902783,0.154571245,0.094598123,0.17760625,0.111846288,0,0.525509758,0.368292203,0.081771849,0.121203035,0.07371649,0,0.227202761,0.148563488,0.120024277,0,0.159485626,0.134619904,0.103747316
0.281681878,0.177964095,0,0.249781542,0.161613634,0.07763534,0.17760625,0.111846288,0,0.547382993,0.363191248,0.064659476,0.121203035,0.07371649,0,0.214055161,0.128116961,0.089562742,0,0.182241561,0.144244615,0.112694221
0.281681878,0.177964095,0,0.210142657,0.12465617,0.047366836,0.17760625,0.111846288,0,0.561221513,0.36112476,0.057886977,0.121203035,0.07371649,0,0.197017273,0.115488174,0.069828763,0,0.20033494,0.163507097,0.099248433
0.281681878,0.177964095,0,0.182135567,0.098099357,0.014423316,0.17760625,0.111846288,0,0.564664676,0.378347435,0.037846773,0.121203035,0.07371649,0,0.17544864,0.107130076,0.067122907,0,0.19456576,0.160166973,0.105103975
0.281681878,0.177964095,0,0.16611417,0.090444275,0.01,0.17760625,0.111846288,0,0.563589523,0.376765286,0.028854715,0.121203035,0.07371649,0,0.156415584,0.100577897,0.061973715,0,0.142638689,0.147534374,0.106195407
0.281681878,0.177964095,0,0.154198839,0.078549265,0,0.17760625,0.111846288,0,0.546145193,0.366271095,0.021944995,0.121203035,0.07371649,0,0.130775692,0.088013234,0.045466779,0,0.09257271,0.12456679,0.088758094
0.281681878,0.177964095,0.01,0.154833313,0.070699974,0.01,0.17760625,0.111846288,0.05061833,0.520291264,0.335207449,0.018841868,0.121203035,0.07371649,0.010224033,0.110072272,0.075288808,0.034003963,0.010230548,0.082808209,0.106155618,0.066078136
0.281681878,0.177964095,0.179898131,0.14409727,0.058542667,0,0.17760625,0.111846288,0.373691478,0.41840232,0.265364572,0.021214687,0.121203035,0.07371649,0.225574018,0.089322635,0.056579906,0.026287913,0.223253283,0.089119737,0.090199101,0.052000371
0.281681878,0.177964095,0.523833452,0.086256334,0.024673093,0,0.17760625,0.111846288,0.666188631,0.202607316,0.079732938,0,0.121203035,0.07371649,0.599066011,0.018105184,0.010522258,0.01,0.573153085,0.043654047,0.022756805,0.011252196
